;18;19;20
58/Açaí/permanent;;;
105/Açaí/permanent;;;
23/Açaí/permanent;;;
102/Açaí/permanent;;;20.0
117/Açaí/permanent;;1750.0;
42/Açaí/permanent;;;
75/Açaí/permanent;;;
90/Açaí/permanent;;;
40/Açaí/permanent;;;
41/Açaí/permanent;;;
56/Açaí/permanent;;;
68/Açaí/permanent;;;
85/Açaí/permanent;;;
54/Açaí/permanent;35800.0;;
89/Açaí/permanent;;;
11/Açaí/permanent;;;
122/Açaí/permanent;;;
104/Açaí/permanent;;;
95/Açaí/permanent;;;12.0
78/Açaí/permanent;;;
2/Açaí/permanent;;;
121/Açaí/permanent;;;
80/Açaí/permanent;;;
6/Açaí/permanent;;;
81/Açaí/permanent;;;
103/Açaí/permanent;;;
12/Açaí/permanent;;;
125/Açaí/permanent;;;
91/Açaí/permanent;;;
43/Açaí/permanent;700.0;;
61/Açaí/permanent;;;
113/Açaí/permanent;;130.0;
52/Açaí/permanent;;;
13/Açaí/permanent;;100.0;
37/Açaí/permanent;;;
20/Açaí/permanent;;;31.0
87/Açaí/permanent;;;
47/Açaí/permanent;;;
62/Açaí/permanent;;;4000.0
36/Açaí/permanent;;;
71/Açaí/permanent;;;
48/Açaí/permanent;;;50.0
1/Açaí/permanent;;;
22/Açaí/permanent;;60.0;
45/Açaí/permanent;;;
131/Açaí/permanent;;;182.0
4/Açaí/permanent;;;
18/Açaí/permanent;;;
30/Açaí/permanent;;;3.0
137/Açaí/permanent;;;
31/Açaí/permanent;;;
44/Açaí/permanent;;;
74/Açaí/permanent;;;
59/Açaí/permanent;;;
136/Açaí/permanent;;;
141/Açaí/permanent;;;
32/Açaí/permanent;;;
7/Açaí/permanent;;;
34/Açaí/permanent;;;
88/Açaí/permanent;;;
33/Açaí/permanent;;;
100/Açaí/permanent;;;150.0
124/Açaí/permanent;;;
112/Açaí/permanent;;;
140/Açaí/permanent;;2100.0;
28/Açaí/permanent;;;
0/Açaí/permanent;;;
106/Açaí/permanent;10.0;;
26/Açaí/permanent;;;
108/Açaí/permanent;;;
60/Açaí/permanent;;;
35/Açaí/permanent;;;
93/Açaí/permanent;;;
119/Açaí/permanent;;;500.0
64/Açaí/permanent;;;
16/Açaí/permanent;;;54.0
129/Açaí/permanent;;;
97/Açaí/permanent;;;
107/Açaí/permanent;;27.0;
138/Açaí/permanent;;;
98/Açaí/permanent;;;35.0
76/Açaí/permanent;;;
49/Açaí/permanent;;;
115/Açaí/permanent;;;
132/Açaí/permanent;;;
21/Açaí/permanent;;;
38/Açaí/permanent;;;10.0
92/Açaí/permanent;;;
143/Açaí/permanent;;;110.0
101/Açaí/permanent;;;
96/Açaí/permanent;;;
51/Açaí/permanent;;;
65/Açaí/permanent;;;
24/Açaí/permanent;;50.0;
130/Açaí/permanent;;;5200.0
15/Açaí/permanent;;;
57/Açaí/permanent;;;
79/Açaí/permanent;;;
127/Açaí/permanent;;;
27/Açaí/permanent;1800.0;;
17/Açaí/permanent;;;
8/Açaí/permanent;;;
116/Açaí/permanent;;;
10/Açaí/permanent;;;
3/Açaí/permanent;;;
134/Açaí/permanent;;;
29/Açaí/permanent;;;
63/Açaí/permanent;;;
109/Açaí/permanent;;;
14/Açaí/permanent;;900.0;
86/Açaí/permanent;;;
19/Açaí/permanent;;;
25/Açaí/permanent;;400.0;
99/Açaí/permanent;;5000.0;
53/Açaí/permanent;;270.0;
66/Açaí/permanent;7.0;7.0;
77/Açaí/permanent;;;146.0
123/Açaí/permanent;50.0;;50.0
120/Açaí/permanent;;158.0;
69/Açaí/permanent;;;
73/Açaí/permanent;;;
50/Açaí/permanent;;;
114/Açaí/permanent;;;
142/Açaí/permanent;;;
84/Açaí/permanent;;;
94/Açaí/permanent;;;
9/Açaí/permanent;;;
126/Açaí/permanent;;;
83/Açaí/permanent;;;
118/Açaí/permanent;;;
133/Açaí/permanent;527.0;;
55/Açaí/permanent;;;
46/Açaí/permanent;;40.0;
139/Açaí/permanent;;;
70/Açaí/permanent;;;
5/Açaí/permanent;;;
110/Açaí/permanent;;;3300.0
135/Açaí/permanent;;;
39/Açaí/permanent;;;
111/Açaí/permanent;;;
67/Açaí/permanent;;;
72/Açaí/permanent;;;
128/Açaí/permanent;;;
